design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,d_shaft_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
1,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.019,0.017,0.007,0.012,0.0067,0.003,0.0035,0.06880228444197542,0.06955761124196755,0.02170506531091,3.43e-10,2805.422939040617,2.6693860317367077,1050.9618712642337,True
2,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.016,0.007,0.004,0.019,0.0044,0.0014,0.002,0.023617732355102894,0.06286208700329571,0.02206532744846041,1.0133333333333335e-10,828.8129965678793,2.6339749356427995,314.66244623380004,True
3,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.012,0.002,0.015,0.005,0.005,0.0023,0.0036,0.005048537210346643,0.06234033912090015,0.021674060933011722,1.5625000000000003e-10,1277.9805662539259,2.6293916311037484,486.0365991647519,True
4,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.018,0.019,0.01,0.006,0.0057,0.0038,0.0011,0.07292547157460863,0.049743238092630405,0.022187161553159272,1.8e-10,1472.2336123245223,2.5620452875928543,574.6321579302548,True
5,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.011,0.016,0.014,0.013,0.0052,0.002,0.0018,0.03688376080004221,0.15102594174311365,0.02209851523325293,2.5631666666666662e-09,20964.334003647058,3.121154990824737,6716.851314745963,True
6,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.016,0.016,0.016,0.008,0.0073,0.0026,0.0011,0.05408931865600949,0.10620356997642297,0.022187161553159272,6.826666666666668e-10,5583.582292667818,2.8739408110556552,1942.8313454433526,True
7,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.014,0.011,0.015,0.014,0.0045,0.0026,0.0028,0.03255199397765089,0.17451857163081635,0.0218976417989824,3.4300000000000004e-09,28054.229390406173,3.250060472851043,8631.909967446305,True
8,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.015,0.002,0.02,0.016,0.0053,0.0018,0.003,0.006330857724006613,0.2659186415938311,0.02184698675903592,6.826666666666667e-09,55835.82292667818,3.7547547715787304,14870.697641646875,True
9,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.015,0.005,0.016,0.012,0.0063,0.0023,0.0021,0.01583450178948432,0.15944684343750984,0.0220474235119276,2.304e-09,18844.590237753884,3.1674549911234275,5949.442151684724,True
10,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.017,0.003,0.007,0.02,0.0066,0.0019,0.0025,0.010785311090395404,0.1160180721604549,0.02196707413821939,5.716666666666668e-10,4675.70489840103,2.9271841422006535,1597.3388318801976,True
11,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.013,0.009,0.018,0.005,0.0074,0.0015,0.0028,0.03187734275663188,0.054721177122185334,0.0218976417989824,1.8750000000000002e-10,2872.7572325263022,3.248771523358285,884.2595460688805,True
12,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.01,0.017,0.019,0.014,0.0058,0.0025,0.0021,0.046322856282805705,0.16184211235510287,0.0220474235119276,4.344666666666667e-09,66566.25381110722,3.8145070986010126,17450.813982105497,True
13,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.009,0.002,0.008,0.002,0.0033,0.0032,0.0018,0.004924239224649209,0.009704495350131157,0.02209851523325293,5.333333333333334e-12,81.71398350297038,3.0125221649950817,27.124774201654308,True
14,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.012,0.003,0.015,0.012,0.0063,0.0035,0.0027,0.009857933537738759,0.10962607475143744,0.021921659274819098,2.16e-09,33094.163318702995,3.5384404200664425,9352.754148699662,True
15,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.013,0.006,0.016,0.005,0.0066,0.0026,0.0037,0.021371729790489576,0.048738106645063464,0.021642183192355745,1.666666666666667e-10,2553.5619844678245,3.215771523010505,794.074444093982,True
16,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.008,0.008,0.02,0.019,0.0048,0.003,0.0016,0.017392477144867146,0.23118895650974805,0.02212820956701466,1.1431666666666665e-08,175148.816514648,4.18065525868043,41895.063256168,True
17,0.097,0.217,0.112,0.25026489338142716,1.72858747131389,3.1415926535897927,0.016,0.002,0.016,0.006,0.0051,0.0014,0.0021,0.00879610021833594,0.05829655018850196,0.0220474235119276,2.88e-10,4412.555109160399,3.2684756196893296,1350.0345796000813,True
