design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,d_shaft_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,utilization_max,check_static_passed,n_static_rod,n_static_rod_min,check_static_sf_rod_passed,n_static_crank,n_static_crank_min,check_static_sf_crank_passed,n_static_pin,n_static_pin_min,check_static_sf_pin_passed,n_shaft,n_shaft_min,check_shaft_passed,n_buck,n_buck_min,P_cr,N_max_comp,check_buckling_passed,n_rod,S_n_prime_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,n_fatigue_rod_min,check_fatigue_rod_passed,n_crank,S_n_prime_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,n_fatigue_crank_min,check_fatigue_crank_passed,n_pin,S_n_prime_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,n_fatigue_pin_min,check_fatigue_pin_passed,D_rod,D_miner_rod_max,check_miner_rod_passed,D_crank,D_miner_crank_max,check_miner_crank_passed,D_pin,D_miner_pin_max,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max
2,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.016,0.007,0.004,0.019,0.0044,0.0014,0.002,0.023617732355102894,0.06286208700329571,0.02206532744846041,1.020471764599643,1.0,False,41.38986036548243,1.0,True,136.7400223984641,1.0,True,0.9799389210855093,1.0,False,5.93001231763053,2.0,True,314.66244623380004,3.0,828.8129965678793,2.6339749356427995,True,16.63279510335798,94802400.0,4626964.859411925,5465519.49629787,16.63279510335798,34.18385283944654,5.604739936034598e+26,1.1209479872069196e+27,1.0,True,42.545674167867794,93607821.44065294,1816633.5319057624,1978993.9452095523,42.545674167867794,90.8940622018578,2.949996176889423e+31,5.899992353778846e+31,1.0,True,0.47303896638330134,94802400.0,162807893.3056871,191582620.20982587,0.47303896638330134,0.9735023564193067,585330739.0170274,1170661478.0340548,1.0,False,3.340030084115653e-20,1.0,True,6.345770935791181e-25,1.0,True,0.03198191851573924,1.0,True,352062758.78687686,23411545.326190576,1.8325957145940461,1.8325957145940461,0,0.108545146806859,0.0030703031621923164,0.380763946569691,0.18707667605765174,9.830725484690063,9.98344624674581,7.0861388500048115
6,0.074,0.297,0.217,0.24953766332820485,1.5877423451886108,3.1415926535897927,0.016,0.016,0.016,0.008,0.0073,0.0026,0.0011,0.05408931865600949,0.10620356997642297,0.022187161553159272,0.4829867420522064,1.0,True,183.26948777584784,1.0,True,373.13750401237303,1.0,True,2.0704502068752633,1.0,True,26.263749449353615,2.0,True,1942.8313454433526,3.0,5583.582292667818,2.8739408110556552,True,60.0013580934032,92922862.71379176,1252153.375152233,1541300.2709212294,60.0013580934032,123.50303377503303,2.233598699995876e+33,4.467197399991752e+33,1.0,True,118.45119420816702,89447031.28540286,628469.6695578342,683990.7249061121,118.45119420816702,262.86507498072723,6.76221432262369e+36,1.352442864524738e+37,1.0,True,0.9845783081095867,94802400.0,79036615.13942271,87888990.16369025,0.9845783081095867,2.066788970892329,2610877494954.6675,5221754989909.335,1.0,False,8.381093703195012e-27,1.0,True,2.7683239700596737e-30,1.0,True,7.170003202438663e-06,1.0,True,166630426.0080112,5727920.894025385,1.8325957145940461,1.8325957145940461,0,0.18248005018559174,0.0034758149005950753,0.4024541682199273,0.19457325877226925,9.915697015574827,10.25654772261483,7.323659562766111
21,0.121,0.135,0.013,0.2504735563814456,2.138688371744316,3.1415926535897927,0.013,0.006,0.015,0.014,0.0039,0.002,0.0038,0.026625658521369333,0.07994235167618174,0.021609432088942074,0.5039329314643001,1.0,True,607.5847465413455,1.0,True,94.02529343814723,1.0,True,1.984391051988319,1.0,True,2.8275438387926917,2.0,True,34493.090778144586,3.0,135782.47024956587,3.936512130006047,True,275.82407785091516,90426780.33080085,264524.1230336156,338203.4037174134,275.82407785091516,572.3979488040048,1.5851770168106034e+41,3.170354033621207e+41,1.0,True,36.03561948126602,94802400.0,2141363.6996590076,2493568.6132235564,36.03561948126602,74.43474396402503,4.358330635963935e+30,8.71666127192787e+30,1.0,True,0.8896171159903734,94802400.0,87085637.23224972,99245624.02405111,0.8896171159903734,1.8515411620889983,845356637679.9292,1690713275359.8584,1.0,False,1.1809406647634143e-34,1.0,True,4.295222543587422e-24,1.0,True,2.2144499925353173e-05,1.0,True,173856861.35518354,38662769.4378191,2.0943951023931953,0.7853981633974483,0,0.12817744228649314,0.0021522035992039114,0.44661672265526625,0.75351172284276,19.303543374188948,19.506694228915133,10.538330849884561
22,0.121,0.135,0.013,0.2504735563814456,2.138688371744316,3.1415926535897927,0.02,0.012,0.01,0.015,0.0045,0.002,0.0013,0.08226422859377473,0.056796696221576216,0.022166200846974522,0.9898039280544032,1.0,True,355.2677472115395,1.0,True,415.9627511607035,1.0,True,1.0103011027301525,1.0,True,4.501540004268389,2.0,True,12898.553162020282,3.0,49483.407525352,3.836353341633356,True,161.68497899875032,92115796.1247381,459073.6179471008,580183.7083652972,161.68497899875032,331.9678305508466,2.6071051984930173e+38,5.214210396986035e+38,1.0,True,150.58871064763832,89765098.31132548,487890.29569644603,582215.3515797044,150.58871064763832,322.39807431926357,1.2844538455809558e+38,2.5689076911619116e+38,1.0,True,0.4813355959345863,94802400.0,160964972.66518852,183372300.516298,0.4813355959345863,1.001924644440581,668175571.1678208,1336351142.3356416,1.0,False,7.18037768894815e-32,1.0,True,1.4574287791191892e-31,1.0,True,0.028016588465336504,1.0,True,341482355.1787691,25537163.290571384,2.0943951023931953,0.7853981633974483,0,0.16122712566232547,0.002760435051152843,0.4523490644720923,0.7392585317790891,18.58026760419179,19.205773155385,10.335606582702495
24,0.121,0.135,0.013,0.2504735563814456,2.138688371744316,3.1415926535897927,0.013,0.001,0.012,0.01,0.0079,0.0014,0.0018,0.004400445098217454,0.04545622284149927,0.02209851523325293,9.140467167455121,1.0,False,412.92513631333225,1.0,True,6.3446080179366025,1.0,True,0.9759302951826072,1.0,False,23.841363148761527,2.0,True,10459.006181608922,3.0,39586.726020281596,3.784941449780453,True,196.2581210369196,93253289.53913026,382386.71141849883,480494.8811255724,196.2581210369196,399.8231078065086,2.1836172150473426e+39,4.367234430094685e+39,1.0,True,0.05034518290519466,94802400.0,1573149243.227947,1578874987.2887018,0.05034518290519466,0.1094534733140205,0.002055012570612328,0.004110025141224656,1.0,False,0.46895180738289616,94802400.0,165037920.16280133,189120109.81144592,0.46895180738289616,0.9741414024272917,499689634.3187978,999379268.6375957,1.0,False,8.572931130511414e-33,1.0,True,9109433327.905163,1.0,False,0.03746325461707856,1.0,True,353508853.7603464,1819547096.6894536,2.0943951023931953,0.7853981633974483,0,0.07195518317296966,0.0018714813906120968,0.41079627606286095,0.7318312677947703,19.012711320978486,19.046461027884565,10.229912975325824
27,0.121,0.135,0.013,0.2504735563814456,2.138688371744316,3.1415926535897927,0.015,0.018,0.01,0.01,0.0057,0.0033,0.0013,0.09249540856069778,0.037894727412704,0.022166200846974522,0.646214488844753,1.0,True,172.95027100101498,1.0,True,413.1316925815667,1.0,True,1.547473814441571,1.0,True,9.32236628338798,2.0,True,8793.683414239062,3.0,32988.93835023466,3.751435751805408,True,78.20232662084533,94193108.43900025,974530.6140917293,1179124.145943551,78.20232662084533,160.19280638756993,4.1194842191719287e+34,8.238968438343857e+34,1.0,True,149.92773498974668,89185473.44505492,491406.49699318566,560251.6153675551,149.92773498974668,328.0533815552956,1.1815562051241414e+38,2.363112410248283e+38,1.0,True,0.7400352873040915,94802400.0,104696033.42270927,119265419.69796383,0.7400352873040915,1.5404436575704386,99310921943.66539,198621843887.33078,1.0,False,4.544258213899159e-28,1.0,True,1.5843512072312433e-31,1.0,True,0.00018849890458794665,1.0,True,222943998.6514398,12310759.944013203,2.0943951023931953,0.7853981633974483,0,0.15255633682037628,0.00308794429450996,0.44192996213765623,0.7270281813222099,18.24048484818883,18.944226762041225,10.161553898965655
28,0.121,0.135,0.013,0.2504735563814456,2.138688371744316,3.1415926535897927,0.013,0.02,0.014,0.007,0.0033,0.0021,0.0012,0.08874223749036106,0.03713951548768067,0.02217711788144575,0.6036283211080407,1.0,True,133.58041628207368,1.0,True,346.84689159746915,1.0,True,1.6566485783244334,1.0,True,1.80779348284252,2.0,False,4226.465479858565,3.0,15841.288195782688,3.748117255724706,True,62.622326486106104,94297829.1774542,1224257.0591889357,1442174.828732249,62.622326486106104,129.38639144049932,2.9025732597777077e+33,5.805146519555415e+33,1.0,True,137.48552406867165,89370789.60661852,537419.0089053806,608642.7500142596,137.48552406867165,301.03089760644457,4.1730431779801256e+37,8.346086355960251e+37,1.0,True,0.7013427663220296,94802400.0,110797478.88699256,124187098.64389919,0.7013427663220296,1.4681814595029978,51398987851.82041,102797975703.64082,1.0,False,6.449449617486541e-27,1.0,True,4.485934892497572e-31,1.0,True,0.0003642095064978403,1.0,True,208251770.782274,62789863.40755682,2.0943951023931953,0.7853981633974483,0,0.14805887085948746,0.003134731329275262,0.439774828560637,0.7265570381336119,18.258686589830287,18.934179129817604,10.15481119059095
30,0.121,0.135,0.013,0.2504735563814456,2.138688371744316,3.1415926535897927,0.019,0.011,0.009,0.017,0.0033,0.0014,0.0024,0.07136019243549847,0.057942495679199305,0.02198847152578299,1.7573746189548982,1.0,False,378.2410810705777,1.0,True,331.45233446646455,1.0,True,0.5690306376421295,1.0,False,1.7677947890287673,2.0,False,10645.882511892492,3.0,40883.1912974458,3.8402820293926103,True,171.45436932900245,92015523.32760197,431195.66118828516,553680.7501306531,171.45436932900245,350.29775922643825,5.401695574004025e+38,1.080339114800805e+39,1.0,True,122.21520657004285,90450523.21988608,604814.1992303391,722375.9510541148,122.21520657004285,259.9476796343439,1.0564212392550945e+37,2.112842478510189e+37,1.0,True,0.2694094097222663,94802400.0,287300367.2459416,329070300.3114877,0.2694094097222663,0.5597281281524565,792963.8210097316,1585927.6420194632,1.0,False,3.465578491703807e-32,1.0,True,1.772020412349895e-30,1.0,True,23.60763442670389,1.0,False,606294243.5394399,64032324.83579979,2.0943951023931953,0.7853981633974483,0,0.15129115964048076,0.002760435051152843,0.44853764858532563,0.7397603871266865,18.672224468811244,19.215359785474373,10.342816482543247
31,0.109,0.171,0.057,0.24974420531493807,1.8819842036238517,3.1415926535897927,0.009,0.011,0.01,0.014,0.0047,0.001,0.0027,0.030228793482930737,0.06701981379585394,0.021921659274819098,2.053990126654421,1.0,False,397.69399715423225,1.0,True,112.75392959813227,1.0,True,0.4868572575024104,1.0,False,8.735212828055483,2.0,True,8109.253908738106,3.0,28785.36171834881,3.5496929856063844,True,137.87817278893598,92466003.48494788,548094.7105533836,640097.1229687473,137.87817278893598,290.35715468378885,3.3198653455855817e+37,6.639730691171163e+37,1.0,True,41.002382104814444,94245189.81276417,1911986.4168701898,1981006.8622297004,41.002382104814444,88.62075407429639,1.6273415173068286e+31,3.254683034613657e+31,1.0,True,0.23146259392943652,94802400.0,336385249.0912762,372912099.02568203,0.23146259392943652,0.4863968558685657,126687.24270985472,253374.48541970944,1.0,False,5.638782917774646e-31,1.0,True,1.1503424327906716e-24,1.0,True,147.76547029974796,1.0,False,708626593.6957753,17803252.655649528,2.0943951023931953,0.7853981633974483,0,0.11917026655360377,0.002399707192925059,0.35893654817988097,0.6483820474415262,9.73362755062116,9.938464736129495,6.524752000986159
34,0.109,0.171,0.057,0.24974420531493807,1.8819842036238517,3.1415926535897927,0.01,0.01,0.004,0.01,0.0075,0.0012,0.0027,0.030251692562710118,0.01904142857813242,0.021921659274819098,0.8261204961290088,1.0,True,67.99720557432782,1.0,True,138.3672286770373,1.0,True,1.21047716971767,1.0,True,37.09049053309372,2.0,True,398.76697412209506,3.0,1315.9022499816597,3.2999278660894187,True,24.180496616162962,94802400.0,3241176.109026114,3461606.773376284,24.180496616162962,51.47115848042296,3.516860498991335e+28,7.03372099798267e+28,1.0,True,42.72134877773114,94193108.43900025,1831783.8952999727,1912867.9011183674,42.72134877773114,92.13139665748984,2.678432072271039e+31,5.356864144542078e+31,1.0,True,0.5658025585581333,94802400.0,138775404.58429655,146620672.8345165,0.5658025585581333,1.2088463272524919,3749275162.631144,7498550325.262288,1.0,False,5.322929358548357e-22,1.0,True,6.989163620687732e-25,1.0,True,0.004992965090047642,1.0,True,285011571.16450804,8550347.134935241,2.0943951023931953,2.0943951023931953,0,0.07121478041566164,0.0021425957079688027,0.32676817195707025,0.620721248323454,9.46232065624541,9.67021478811183,6.264404009979654
