design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,utilization_max,check_static_passed,n_static_rod,n_static_rod_min,check_static_sf_rod_passed,n_static_crank,n_static_crank_min,check_static_sf_crank_passed,n_static_pin,n_static_pin_min,check_static_sf_pin_passed,n_buck,n_buck_min,P_cr,N_max_comp,check_buckling_passed,n_rod,S_n_prime_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,n_fatigue_rod_min,check_fatigue_rod_passed,n_crank,S_n_prime_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,n_fatigue_crank_min,check_fatigue_crank_passed,n_pin,S_n_prime_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,n_fatigue_pin_min,check_fatigue_pin_passed,D_rod,D_miner_rod_max,check_miner_rod_passed,D_crank,D_miner_crank_max,check_miner_crank_passed,D_pin,D_miner_pin_max,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.006,0.005,0.003,0.0024,0.0021,0.0013,0.003932518511313177,0.012040533653835318,0.022166200846974522,0.44390039927349273,1.0,True,137.6569125863161,1.0,True,96.58295961214836,1.0,True,19.024741194855622,1.0,True,39.24360661363402,3.0,97.85537132699005,2.4935366489224036,True,12.80853361090045,94802400.0,5916929.527935696,7563616.4170706235,12.80853361090045,25.59243530695435,3.2113876016232905e+25,6.422775203246581e+25,1.0,True,1.058570121377287,94802400.0,74040463.57524936,79053941.19496702,1.058570121377287,2.2535114886649192,5578849864505.969,11157699729011.938,1.0,True,9.470919720320012,94802400.0,7948467.002202613,10502303.888978725,9.470919720320012,18.698405721621903,1.0378783686559965e+24,2.075756737311993e+24,1.0,True,5.829255861403159e-19,1.0,True,3.355530343109123e-06,1.0,True,1.8036795606638874e-17,1.0,True,18134280.853885654,88365032.98137783,2.0943951023931953,0.7853981633974483,1,0.038139253012123016,0.001245302892373402,0.18793439623454508,0.30347614402737044,5.1385332657880225,5.158290328857209,4.299293002877285
4,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.005,0.005,0.009,0.005,0.0033,0.0027,0.0039,0.005500528313313139,0.036195996724397446,0.021575807622770702,0.37914185269813877,1.0,True,621.3408295440422,1.0,True,257.9866394628114,1.0,True,51.15859445977801,1.0,True,310.92063520828447,3.0,815.4614277249171,2.6227317694068226,True,58.82193697302095,94802400.0,1275470.2415064138,1712946.648561479,58.82193697302095,115.44574023343912,1.802324694177481e+33,3.604649388354962e+33,1.0,True,1.282389467661838,94802400.0,60053911.892476045,70677513.62143353,1.282389467661838,2.6389982258955222,63656826751589.35,127313653503178.7,1.0,True,25.75954855217209,94802400.0,2887727.8065483863,4037910.6617906746,25.75954855217209,49.81490177074454,1.3466431198051472e+29,2.6932862396102943e+29,1.0,True,1.0386585758091254e-26,1.0,True,2.940768642623646e-07,1.0,True,1.3901233166147758e-22,1.0,True,6743734.92163172,75473872.907355,2.0943951023931953,0.7853981633974483,1,0.06327233266048128,0.0013016231236867718,0.1990309069438908,0.31014519287569964,5.185799839902757,5.21256722709185,4.379947604699888
7,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.006,0.007,0.006,0.008,0.0024,0.0039,0.003,0.013474691701993792,0.023789805752722645,0.02184698675903592,0.24841913173502347,1.0,True,511.752778583832,1.0,True,443.1019462134136,1.0,True,28.46024654508861,1.0,True,1707.5637716646554,3.0,5829.309080931253,3.4138163257284533,True,113.07932936616012,94802400.0,645622.0998187055,982017.2144153336,113.07932936616012,211.96342272081066,4.9443753540715166e+36,9.888750708143033e+36,1.0,True,1.8786650622833683,94802400.0,41867974.95863785,43788169.33354973,1.8786650622833683,4.027732077492851,4221485445108363.5,8442970890216727.0,1.0,True,15.80349394110113,94802400.0,4470985.674167162,7784049.361756834,15.80349394110113,28.15169430268283,8.350817396803064e+26,1.6701634793606128e+27,1.0,True,3.786120320453573e-30,1.0,True,4.434458022753995e-09,1.0,True,2.2416967238640088e-20,1.0,True,12122171.867113946,49451554.45883245,2.356194490192345,0.7853981633974483,1,0.059111484213752355,0.0016941107906631825,0.33120173674432585,0.7293591624695941,4.700521162278887,4.763627969010499,3.982972712284567
8,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.009,0.008,0.007,0.005,0.0034,0.0024,0.0011,0.023296331140733425,0.017413583269735567,0.022187161553159272,0.13406155545136036,1.0,True,336.16331812405485,1.0,True,1095.1646649454199,1.0,True,7.4592600140523935,1.0,True,490.70882602348104,3.0,1660.3663560595207,3.383608095078506,True,92.44646117978462,94802400.0,791628.7137820991,1191449.548954652,92.44646117978462,173.97195384708724,4.6189144226191384e+35,9.237828845238277e+35,1.0,True,5.173556047912918,94802400.0,15231408.740438899,15758283.959328594,5.173556047912918,11.132733820319181,5.392203345014907e+20,1.0784406690029814e+21,1.0,True,3.962105584874946,94802400.0,18424369.573670823,28036258.060341727,3.962105584874946,7.425642260317529,5.897798601634989e+19,1.1795597203269978e+20,1.0,True,4.052900375968623e-29,1.0,True,3.4716791638257936e-14,1.0,True,3.174065658127159e-13,1.0,True,46251236.63071933,17890981.141429864,2.356194490192345,0.7853981633974483,1,0.06289707596362826,0.0017303097391816265,0.3308656387366114,0.7255076214535942,4.643922487769557,4.752417240882986,3.963717652735818
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.007,0.005,0.004,0.002,0.0029,0.0017,0.0013,0.011289927510475164,0.003972079992848717,0.022166200846974522,0.25151827038551344,1.0,True,57.27708750672113,1.0,True,620.404082879862,1.0,True,14.09446881111724,1.0,True,18.315839678228762,3.0,60.721969593033904,3.315270861712742,True,14.662850296241947,94802400.0,5074321.621574804,7087696.50043082,14.662850296241947,28.367002625638786,1.916408773147947e+26,3.832817546295894e+26,1.0,True,1.860905918575153,94802400.0,42206636.67104774,44516305.64378794,1.860905918575153,3.9781860577046047,3843985056740076.0,7687970113480152.0,1.0,True,7.541122300772194,94802400.0,9599298.06599727,15142244.055760195,7.541122300772194,13.944159111109345,1.1565609813370597e+23,2.3131219626741194e+23,1.0,True,9.768270873259467e-20,1.0,True,4.869946090757089e-09,1.0,True,1.6185916957321578e-16,1.0,True,24477687.284523677,50068484.49429223,2.356194490192345,0.7853981633974483,1,0.037428208350298406,0.0013683202539971858,0.31667309603770916,0.7163767209609173,4.667964134421989,4.722555081097445,3.9175983526686453
13,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.009,0.003,0.006,0.005,0.0035,0.0023,0.0018,0.007683843129224833,0.01675784769596046,0.02209851523325293,0.4338217900440539,1.0,True,305.2624636247551,1.0,True,161.39657576343188,1.0,True,20.800688739962325,1.0,True,351.44287467467353,3.0,1127.293877686925,3.207616255502256,True,49.18780052409584,94802400.0,1571600.8285176686,1812503.940849943,49.18780052409584,101.94719830274941,1.5904074331752925e+32,3.180814866350585e+32,1.0,True,1.0914286283135861,94802400.0,71540903.67636327,78052095.1476393,1.0914286283135861,2.30625766387567,8317092014474.063,16634184028948.127,1.0,True,9.846495280745183,94802400.0,7857569.935347349,9020178.474775268,9.846495280745183,20.441115225599784,1.1863948622893372e+24,2.3727897245786744e+24,1.0,True,1.1770568729438721e-25,1.0,True,2.250786689316647e-06,1.0,True,1.5778895033207398e-17,1.0,True,16585989.257999197,86358734.63511959,2.0943951023931953,0.7853981633974483,1,0.04654020605843822,0.0015259716587638597,0.27614901276532444,0.5033346223799914,7.445372766546975,7.494138839676704,5.353155098361357
15,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.008,0.004,0.004,0.003,0.0022,0.0015,0.0026,0.009087614580479214,0.00668137051164856,0.02194480338789809,0.22048274497213358,1.0,True,81.09022019388468,1.0,True,292.70187953654425,1.0,True,7.668633052634557,1.0,True,51.44714634066876,3.0,162.33031838691718,3.1552832359643577,True,9.22731066070921,94802400.0,8417773.855904313,9457673.116797201,9.22731066070921,19.300216689790567,5.3266013855462004e+23,1.0653202771092401e+24,1.0,True,2.125229409958533,94802400.0,36934590.47454188,39094945.24153184,2.125229409958533,4.537710203681569,1.813799759187023e+16,3.627599518374046e+16,1.0,True,3.6735921898731174,94802400.0,20978085.42608994,24599626.34907199,3.6735921898731174,7.569489264882567,1.3037294044378868e+19,2.6074588088757735e+19,1.0,True,3.5144360625138864e-17,1.0,True,1.0320874674936903e-09,1.0,True,1.4358807844846665e-12,1.0,True,44988461.12886772,43890397.62787777,2.0943951023931953,0.7853981633974483,1,0.037713788480025864,0.0014215630715852796,0.27046128359979754,0.4984453814069349,7.395309600152353,7.453234985208089,5.306113248265897
17,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.004,0.009,0.005,0.004,0.0023,0.0018,0.0027,0.009845383852728817,0.011875934901614404,0.021921659274819098,0.18343030549090833,1.0,True,111.37137272759655,1.0,True,329.1842443298771,1.0,True,6.401382990073859,1.0,True,138.50128722232253,3.0,424.0593543136692,3.061771935974633,True,13.56309914619992,94802400.0,5672253.957062424,6712286.749065361,13.56309914619992,27.857310835055547,5.247555356020299e+25,1.0495110712040598e+26,1.0,True,2.5737063968988116,94802400.0,30383196.44747444,32870549.86460966,2.5737063968988116,5.454222399695094,1.7564420764470733e+17,3.5128841528941466e+17,1.0,True,3.1561101011500226,94802400.0,24162344.559566863,29933986.46920917,3.1561101011500226,6.377511994602378,2.5208402602700303e+18,5.041680520540061e+18,1.0,True,3.56737542149476e-19,1.0,True,1.0657909105586203e-10,1.0,True,7.42609529649242e-12,1.0,True,53894603.796549186,36514553.762547664,2.0943951023931953,0.7853981633974483,1,0.043642978029162324,0.001826782557436762,0.2592183379679901,0.480826508456275,6.7972912348037955,6.857253099892546,5.073210190798707
18,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.009,0.003,0.005,0.007,0.001,0.0017,0.0011,0.0074317306415441625,0.020798456222135168,0.022187161553159272,0.3031922993944932,1.0,True,442.04334468168224,1.0,True,142.1933756243598,1.0,True,3.2982368021783692,1.0,True,730.7720889711154,3.0,2272.6931020248207,3.1099889231191633,True,56.59945202981087,94802400.0,1353930.9176599411,1635633.8224444683,56.59945202981087,115.40141458450269,9.002556971528258e+32,1.8005113943056516e+33,1.0,True,1.6519887623160066,94802400.0,47138678.22158174,52212368.21287467,1.6519887623160066,3.472535140609741,1063361796041818.9,2126723592083637.8,1.0,True,1.6339471596846429,94802400.0,46380168.05054849,59305155.9361995,1.6339471596846429,3.264407838152249,1284105245501867.0,2568210491003734.0,1.0,True,2.0794092233133768e-26,1.0,True,1.760454444543896e-08,1.0,True,1.4578244318816453e-08,1.0,True,104601343.29110016,57343235.70307751,2.0943951023931953,0.7853981633974483,1,0.050417348416838606,0.0013720469851992848,0.26371331655230995,0.4851110208637091,6.846141909144671,6.891225897989141,5.113672862185599
21,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.008,0.005,0.005,0.004,0.0032,0.0013,0.0015,0.013352759778758291,0.009106229507346702,0.02214174668975898,0.22317931243432446,1.0,True,206.51928553366147,1.0,True,515.6461681988322,1.0,True,5.930847486742307,1.0,True,208.59470788610057,3.0,724.1201718490291,3.4714215868046954,True,70.49013668692275,94802400.0,1048328.056967897,1510992.578589974,70.49013668692275,134.80139815494366,1.7628613774944838e+34,3.5257227549889676e+34,1.0,True,2.0980163791612942,94802400.0,37428961.02163089,39524099.31510352,2.0980163791612942,4.483252498215595,1.553975540740013e+16,3.107951081480026e+16,1.0,True,3.1618729815592586,94802400.0,23009536.164856926,35528396.83129736,3.1618729815592586,5.893614317107254,4.45061318769197e+18,8.90122637538394e+18,1.0,True,1.0619099288797356e-27,1.0,True,1.2046521653156405e-09,1.0,True,4.206161984997835e-12,1.0,True,58170438.67191086,44427189.829738796,2.356194490192345,0.7853981633974483,1,0.044600735975863975,0.0013307303649298732,0.343063886282351,0.7465934892381889,4.950691838684702,5.018712083309154,4.057831344121659
