r,l,e,ROM,QRR,theta_min,theta_max
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197
0.092,0.279,0.169,0.2502226302837912,1.527305416544305,2.0131577563515566,5.810222760837035
0.102,0.185,0.079,0.2504571856529728,1.907026705379786,1.8825170822080421,6.004323790576743
0.099,0.187,0.085,0.2502953407428976,1.9437407434150595,1.832660367337079,5.981423571879186
0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,2.302277184643792,6.077925361138653
0.107,0.193,0.076,0.24996449076047664,1.7153350747645895,2.0578387063248202,6.027060861931182
0.086,0.305,0.202,0.25017997723320556,1.502948673223037,1.96740994571833,5.740281967452573
0.112,0.176,0.055,0.24997335074441432,1.732177250086646,2.107546504023608,6.091032804859324
0.111,0.194,0.068,0.2497310404864361,1.6111570779737747,2.181443488349265,6.05834486869008
0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,1.854590436003263,5.825672822524881
0.085,0.248,0.157,0.24984867288722923,1.6921127112393222,1.8429649742394232,5.792226712413942
0.114,0.16,0.041,0.25005846224273326,1.8669686872610802,2.041378789004412,6.132986164029412
0.109,0.188,0.069,0.25040290668971465,1.7154312706609245,2.079415586478204,6.048719715715
0.086,0.273,0.176,0.2497075577639581,1.5879362171330413,1.9154975065935433,5.770807943603337
0.117,0.144,0.025,0.249601883990509,2.058931982167134,1.9581129276835492,6.187252788998663
0.112,0.203,0.071,0.24997312066602184,1.5397629639770678,2.246575549126371,6.055834983577813
0.11,0.19,0.068,0.25004910287258386,1.668856430722694,2.125607359774968,6.054531405520504
0.123,0.137,0.01,0.2500096621641989,1.635055060744932,2.3459897001052594,6.244714279772258
0.109,0.206,0.08,0.24981760212403256,1.5871345478121166,2.171846357588581,6.026404474700631
0.078,0.228,0.149,0.24998165193193006,1.8626295232768055,1.686330627079151,5.774616015813361
0.076,0.327,0.24,0.25025068526607813,1.507382419770035,1.8679447622625385,5.645255713126007
0.083,0.233,0.147,0.2498770291743516,1.7863593350512397,1.7711311691180172,5.799336212933961
0.12,0.144,0.02,0.24997483497894474,1.8146536101202406,2.1564818702521715,6.207355078853072
0.12,0.157,0.027,0.2503827537604574,1.594969999272678,2.3236660710920054,6.185557371427333
0.06,0.328,0.266,0.24978742799146464,1.5662160440084287,1.693041875029555,5.5278030435441625
0.116,0.176,0.046,0.24983122859812845,1.589773246255774,2.267959460437031,6.124992085614959
0.111,0.184,0.062,0.2498754670964362,1.686666718585056,2.1269062155066427,6.071436987043397
0.099,0.261,0.14,0.2501517435462807,1.515825577695892,2.0980393549956577,5.883760067298991
0.122,0.15,0.018,0.24995614767479746,1.5036650088644725,2.443370180227508,6.216960439773585
0.082,0.253,0.166,0.24993062920924458,1.6947365583522471,1.813214897391132,5.7647491614640884
0.118,0.155,0.03,0.2496902339425563,1.7245119855568558,2.196056593311922,6.1730728175555845
0.124,0.133,0.006,0.2502217476107179,1.5801374326764528,2.4118649973630566,6.259836882340612
0.111,0.212,0.079,0.2502615072655407,1.522833584293795,2.243438438165,6.036096686288327
0.122,0.147,0.017,0.25013198507454176,1.5571869686249737,2.3938300189300983,6.219946138650888
0.114,0.153,0.036,0.24956190201916834,1.990809761495248,1.965587446494658,6.147941939199999
