r,l,e,ROM,QRR,theta_min,theta_max,width_r,width_l,thickness_r,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,rho,mass_crank,mass_rod,mass_slider,I_mass_crank_cg_z,I_mass_rod_cg_z,I_mass_slider_cg_z,I_area_crank_yy,I_area_crank_zz,I_area_rod_yy,I_area_rod_zz,I_area_slider_yy,I_area_slider_zz
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.018,0.006,0.011,0.011,0.0032,0.0034,0.0043,7800.0,0.12563507985925487,0.14821939576929397,0.06013456612156987,7.288083555171315e-05,0.001024926712420303,4.1547640159484796e-06,1.9964999999999995e-09,5.345999999999998e-09,6.654999999999999e-10,1.9800000000000001e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.019,0.009,0.007,0.008,0.0049,0.0022,0.0041,7800.0,0.0844002029590347,0.16244879849717656,0.06034040327223308,4.931736408004438e-05,0.0011342179766964636,4.15567227237578e-06,5.430833333333333e-10,4.001083333333334e-09,3.8399999999999997e-10,4.859999999999999e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.019,0.018,0.007,0.012,0.0039,0.0048,0.0036,7800.0,0.08482702520565259,0.48965208234861596,0.06081211340916958,5.010275944217858e-05,0.0034612107798310822,4.1574276237228555e-06,5.430833333333333e-10,4.001083333333334e-09,2.5919999999999997e-09,5.831999999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.007,0.008,0.018,0.016,0.0036,0.0033,0.0033,7800.0,0.07840192283393711,0.2886990946945502,0.06106573418409388,4.212947406161645e-05,0.0020138565504256444,4.158183730658098e-06,3.4019999999999992e-09,5.145e-10,2.730666666666667e-09,6.826666666666668e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.01,0.013,0.014,0.01,0.0034,0.0031,0.0023,7800.0,0.08800134480019164,0.29385701025449945,0.061751858019637895,4.854895849973317e-05,0.0020610681152301354,4.159571416115487e-06,2.286666666666667e-09,1.166666666666667e-09,1.0833333333333335e-09,1.8308333333333335e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.012,0.012,0.008,0.018,0.0024,0.0043,0.0048,7800.0,0.087432015499147,0.30298073096408423,0.059577090505190354,0.0001006058047321758,0.0008215231598988935,4.151870020654949e-06,5.12e-10,1.152e-09,5.831999999999999e-09,2.5919999999999997e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.011,0.005,0.016,0.015,0.0049,0.0037,0.0038,7800.0,0.16007977305714152,0.10373883971064468,0.06063078068120439,0.00018370301313788784,0.00027242544723917817,4.156806559129574e-06,3.754666666666667e-09,1.7746666666666665e-09,1.4062499999999998e-09,1.5625000000000003e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.015,0.014,0.015,0.018,0.0034,0.0049,0.004,7800.0,0.20583966631737044,0.35421182121533856,0.06043964618415997,0.00024054239553362812,0.0009657568210799421,4.156079292368321e-06,4.218749999999999e-09,4.218749999999999e-09,6.8039999999999984e-09,4.116e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.012,0.007,0.007,0.008,0.0026,0.003,0.004,7800.0,0.07650672802198916,0.07805397886509997,0.06043964618415997,8.794630966043155e-05,0.0002082681408218646,4.156079292368321e-06,3.43e-10,1.008e-09,2.986666666666667e-10,2.286666666666667e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.02,0.015,0.018,0.013,0.0044,0.0034,0.0021,7800.0,0.3304616546258002,0.273648909200917,0.0618596774795091,0.0003932076762337826,0.0007435964246586687,4.1597021472105805e-06,9.719999999999999e-09,1.2000000000000002e-08,2.74625e-09,3.656249999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.007,0.018,0.006,0.01,0.0022,0.0024,0.0049,7800.0,0.0334514596791018,0.2841008583407013,0.05945824405510506,2.923733509611181e-05,0.0009778038473328833,4.151171054970385e-06,1.26e-10,1.715e-10,1.5000000000000002e-09,4.859999999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.016,0.012,0.013,0.009,0.0045,0.002,0.003,7800.0,0.16720394518611387,0.16986924563608347,0.061297300978589986,0.00015194072548451286,0.0005778169056651732,4.158759463600915e-06,2.929333333333333e-09,4.437333333333334e-09,7.289999999999999e-10,1.2959999999999999e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.009,0.009,0.012,0.015,0.0024,0.0043,0.0041,7800.0,0.08612174324872048,0.2117788270453522,0.06034040327223308,7.585346626000212e-05,0.0007161692831109628,4.15567227237578e-06,1.2959999999999999e-09,7.289999999999999e-10,2.5312499999999995e-09,9.112499999999997e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.008,0.007,0.009,0.006,0.0025,0.0027,0.0037,7800.0,0.05743523276250542,0.06579716581769392,0.06072267226632187,5.0444665760026955e-05,0.00022162271323619324,4.157129672915744e-06,4.859999999999999e-10,3.8399999999999997e-10,1.26e-10,1.715e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.02,0.014,0.009,0.012,0.0045,0.0033,0.0028,7800.0,0.1455626976236646,0.2646998164885994,0.06143942663023839,0.00013559814442155196,0.0009047606120304724,4.159058638097635e-06,1.2149999999999998e-09,6.000000000000001e-09,2.016e-09,2.744e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.007,0.008,0.018,0.014,0.0037,0.0032,0.0042,7800.0,0.09706630124176584,0.1869179784331291,0.060238709918036364,7.958661775096373e-05,0.0007147300880538514,4.155234355369271e-06,3.4019999999999992e-09,5.145e-10,1.8293333333333336e-09,5.973333333333334e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.019,0.014,0.007,0.013,0.0028,0.004,0.004,7800.0,0.10417003548503943,0.3055047400394079,0.06043964618415997,9.085039949562657e-05,0.0011849475965920535,4.156079292368321e-06,5.430833333333333e-10,4.001083333333334e-09,2.5631666666666662e-09,2.972666666666667e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.016,0.008,0.016,0.007,0.0034,0.0021,0.0047,7800.0,0.19961225747805172,0.09338712739738021,0.05969348651300586,0.00017072583199983607,0.00035658648935281623,4.152526639634038e-06,5.461333333333334e-09,5.461333333333334e-09,2.286666666666667e-10,2.986666666666667e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.013,0.007,0.006,0.019,0.0039,0.0038,0.0026,7800.0,0.06087570580050643,0.22181828463431136,0.061571750512807596,5.1820264379583244e-05,0.00084662005871306,4.159300129183323e-06,2.3399999999999997e-10,1.0985e-09,4.001083333333334e-09,5.430833333333333e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.012,0.006,0.015,0.018,0.0045,0.0041,0.0037,7800.0,0.1402236978555454,0.1793533279846994,0.06072267226632187,0.0001188021501269021,0.000678736682761316,4.157129672915744e-06,3.374999999999999e-09,2.16e-09,2.9159999999999994e-09,3.2399999999999997e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.019,0.009,0.011,0.015,0.0035,0.0044,0.0025,7800.0,0.19830298179591954,0.1729185065051408,0.0616342367906875,0.00025098749541419517,0.000390307261855569,4.159401747492725e-06,2.1074166666666664e-09,6.287416666666666e-09,2.5312499999999995e-09,9.112499999999997e-10,1.3333333333333335e-08,1.3333333333333335e-08
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.019,0.012,0.013,0.01,0.0042,0.0023,0.0025,7800.0,0.23370071915948823,0.15410744740516272,0.0616342367906875,0.0002940025708526042,0.00035010217363987253,4.159401747492725e-06,3.478583333333333e-09,7.430583333333333e-09,1e-09,1.44e-09,1.3333333333333335e-08,1.3333333333333335e-08
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.015,0.016,0.017,0.008,0.0032,0.0043,0.0043,7800.0,0.24115769872751744,0.16521997289725593,0.06013456612156987,0.0003005690747305842,0.00038111410848395695,4.1547640159484796e-06,6.141250000000001e-09,4.781249999999999e-09,6.826666666666668e-10,2.730666666666667e-09,1.3333333333333335e-08,1.3333333333333335e-08
