design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,I_min_r,P_cr,N_max_comp,n_buck,buckling_passed
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,9e-12,78.28429706159203,0.27864801268124717,280.9433173713085,True
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,1.9800000000000001e-10,1722.2545353550247,0.9193050977828764,1873.4308550106516,True
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,1.8224999999999997e-10,1585.2570154972382,0.45314228475531393,3498.3647936392413,True
4,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.007,0.007,0.004,0.0024,0.0021,0.0013,0.01730888253703234,0.06312100302154218,0.0621929376282019,3.733333333333334e-11,324.73486188512254,0.4676287485793251,694.4287811039849,True
5,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.005,0.001,0.007,0.009,0.0033,0.0037,0.0012,0.003066920322520788,0.14189293819030332,0.062223568156574406,4.252499999999999e-10,3698.933036160223,0.8825900186367089,4190.998037654871,True
6,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.006,0.003,0.006,0.01,0.0014,0.0033,0.0038,0.016239778626248022,0.08341365743264913,0.06063078068120439,5e-10,11385.369298693855,0.6305087539924783,18057.43255204618,True
7,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.008,0.009,0.008,0.011,0.0024,0.0039,0.003,0.06519686007605159,0.12291583679782386,0.061297300978589986,8.873333333333333e-10,20205.235382082024,0.8397472669651099,24061.090969792363,True
8,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.012,0.011,0.009,0.007,0.0034,0.0024,0.0011,0.12022269434689424,0.08803025730414113,0.062251748242677096,2.5725e-10,5857.772504177989,0.6598608809335439,8877.284096445685,True
9,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.011,0.002,0.012,0.008,0.0028,0.0028,0.0011,0.020022365326047675,0.13430302994916624,0.062251748242677096,5.12e-10,11658.618161862507,0.9024833982287285,12918.374104991244,True
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.01,0.007,0.004,0.002,0.0029,0.0017,0.0013,0.06356122504114703,0.01114468487202158,0.0621929376282019,2.666666666666667e-12,60.721969593033904,0.27681323584618606,219.36078817695932,True
