design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,check_static_passed,n_buck,P_cr,N_max_comp,check_buckling_passed,n_rod,S_e_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,check_fatigue_rod_passed,n_crank,S_e_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,check_fatigue_crank_passed,n_pin,S_e_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,check_fatigue_pin_passed,D_rod,check_miner_rod_passed,D_crank,check_miner_crank_passed,D_pin,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max,n_static_rod,n_static_crank,n_static_pin
5,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.005,0.001,0.007,0.009,0.0033,0.0037,0.0012,0.003066920322520788,0.14189293819030332,0.062223568156574406,207.00015791296926,False,4190.998037654871,3698.933036160223,0.8825900186367089,True,138.8105636115412,61821352.21570749,378469.54120614106,522642.3423245403,138.8105636115412,382.86033766222477,4.410956851647767e+25,8.821913703295535e+25,True,0.003504369036809928,70795935.39990072,17514087423.40027,18339391998.234024,0.003504369036809928,0.009622497050922876,3.1907987948076356e-12,6.381597589615271e-12,False,15.476506348923884,73964587.8866962,3106676.5673110853,10921523.658756943,15.476506348923884,24.59331877505574,2.656205108140941e+20,5.312410216281882e+20,True,4.243977130043091e-19,True,5.866869459291173e+18,False,7.047648520298944e-14,True,14004878.181300905,20700015791.296925,2.0943951023931953,0.5235987755982988,0,0.2071834266693985,0.0011764670541015052,0.07095812509048259,0.02514448548122906,0.9117818042109449,0.8853554980244075,0.37927438916194817,287.8952987077059,35.74619036373479,12.85266445518485
11,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.002,0.002,0.01,0.004,0.0012,0.0014,0.0039,0.0031501024814134,0.06280605906227534,0.06053643865381708,3.4454920555516497,False,1869.4087901654823,961.9574422928426,0.5145784310812452,True,516.5331216985846,63342180.57121437,100270.32640767982,170494.03781319855,516.5331216985846,1274.1706280024475,3.347836582719614e+30,6.695673165439228e+30,True,0.21840223327518288,71646175.07880475,281241602.95911086,315536137.6890349,0.21840223327518288,0.5781046719760424,3622.353026034761,7244.706052069522,False,50.68396029955239,73964587.8866962,1125898.4398799723,2177354.1373168505,50.68396029955239,104.44251292850603,1.6136092499449704e+24,3.227218499889941e+24,True,5.591670781252057e-24,True,5167.911538564756,False,1.1601321695843289e-17,True,3197111.926928597,344549205.555165,0.7853981633974483,0.5235987755982988,0,0.1264926001975058,0.0012207773270110874,0.05264980940890555,0.03762682865816928,0.542377260486532,0.516048716679017,0.28814019800693147,762.2906678474499,165.60592907369232,56.30081276914271
19,0.098,0.213,0.107,0.24987108329741842,1.735121449034624,3.1415926535897927,0.004,0.011,0.012,0.002,0.0039,0.0026,0.0017,0.03326850404164356,0.040157846160482145,0.06204591109201389,764.2678386717376,False,327.23340660845787,127.21780629410074,0.3887677838660272,True,346.83509278861044,65097141.432109386,156865.6900834868,228699.32339086602,346.83509278861044,894.7907303393047,2.5846974524432225e+29,5.169394904886445e+29,True,0.0006590701304123362,63020014.87380736,84107408695.01288,88232016632.74692,0.0006590701304123362,0.0020018634699742652,6.519926624926816e-17,1.3039853249853632e-16,False,124.98889805729549,71258750.11984718,451453.87642266945,804336.941587737,124.98889805729549,274.7272834392878,1.0942280312934182e+27,2.1884560625868363e+27,True,7.242627171820303e-23,True,2.8711979561902086e+23,False,1.7107951418382386e-20,True,137568210960.91278,59916567056.876945,4.4505895925855405,0.5235987755982988,0,0.13547226129413958,0.0020306295380949414,0.05074072201219271,0.031090277458394485,0.6692220920852875,0.38892796400852836,0.26589228223329986,569.8477876315122,0.001308441817645963,145.19798309925315
24,0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,3.1415926535897927,0.01,0.001,0.006,0.009,0.0019,0.0012,0.0025,0.009371963166343774,0.06901083222626783,0.0616342367906875,1.4441282196491598,False,17302.527269989685,9897.817598961414,0.5720446177899488,True,409.7039860425958,62333304.85219989,114901.60759853682,288565.6749394929,409.7039860425958,855.087921453659,6.4109105028677e+29,1.28218210057354e+30,True,0.5180189558162749,68218665.5135579,112210856.81003751,137925957.1167523,0.5180189558162749,1.3792452001926225,5400200.882693743,10800401.765387487,False,88.86740352070491,73964587.8866962,618138.8826515423,1398522.8632378343,88.86740352070491,171.07479759717964,2.7735079607613715e+26,5.547015921522743e+26,True,2.920022045484218e-23,True,3.466537709734612,False,6.749575002071047e-20,True,1798036.8414834237,144412821.964916,4.4505895925855405,0.5235987755982988,0,0.14001703218329908,0.0011462726905831578,0.07440965074100858,0.06540123302755145,0.6975194025028895,0.6071623426078343,0.31685965203138017,692.1899106694116,100.10918344225676,100.5868725709695
29,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.004,0.002,0.005,0.008,0.0018,0.002,0.0037,0.0070186539898332385,0.06367023352494475,0.06072267226632187,1.221705034810865,False,7278.33785816568,3698.4138496456862,0.5081398970090923,True,218.2273330755159,63342180.57121437,225814.53615467183,491395.8602319064,218.2273330755159,481.0303946208333,5.521110715463407e+27,1.1042221430926814e+28,True,0.5963394749721191,69037952.89120005,99786299.98417507,111821246.3978178,0.5963394749721191,1.6303766377840219,15816141.534481717,31632283.068963435,False,203.09489668029738,70824265.14560658,223320.1285060603,855223.0847399752,203.09489668029738,319.8759175922784,3.221347824879987e+29,6.442695649759974e+29,True,3.390622098479103e-21,True,1.1836009407975647,False,5.811232135634849e-23,True,1004927.8312570587,122170503.48108649,0.5235987755982988,0.5235987755982988,0,0.13141155978109986,0.0014837991327647149,0.060856518755479615,0.05339728605640972,0.5753767168288643,0.5198686785820235,0.2934144349917603,372.0264771977742,195.83689057569183,179.1173399733979
30,0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,3.1415926535897927,0.004,0.002,0.008,0.006,0.0016,0.003,0.0014,0.006990684436805558,0.07679842729084486,0.0621598566575596,13.881192695448819,False,4324.173817560278,2496.429348510838,0.5773193802647223,True,431.7283304693411,62727331.620962925,110750.35513043895,265982.1697675174,431.7283304693411,915.7690860205086,1.0725518424738209e+30,2.1451036849476417e+30,True,0.05240740969807352,69037952.89120005,1136055416.8352897,1268237838.2126417,0.05240740969807352,0.14349331109075633,0.02963946590841042,0.05927893181682084,False,56.547956983321875,72754613.06381544,912785.1393471204,2481666.374817712,56.547956983321875,101.636449529574,5.710120332833066e+24,1.1420240665666132e+25,True,1.7453701778016313e-23,True,631590328.174168,False,3.278389755179136e-18,True,3346420.3868152737,1388119269.5448818,2.356194490192345,0.5235987755982988,0,0.14594896838521004,0.0013837677305558577,0.06949150045223715,0.057994668810825836,0.6515439196998658,0.5952504769363356,0.31170128250551654,588.6181324650162,211.11942915304925,53.78881885527319
36,0.102,0.185,0.079,0.2504571856529728,1.907026705379786,3.1415926535897927,0.003,0.011,0.006,0.007,0.0029,0.0025,0.0039,0.025961884198930113,0.060734056405576595,0.06053643865381708,844.6306081074446,False,6911.122531066599,3615.245464278069,0.523105392507073,True,95.94822463173367,63177055.74217016,575011.3670537664,637899.212212596,95.94822463173367,284.4397648907273,3.1962826663290706e+24,6.392565332658141e+24,True,0.0006010009355374723,63997457.96170802,93667117545.4463,96737208508.6375,0.0006010009355374723,0.0018119336212035631,2.0684738761181556e-17,4.136947752236311e-17,False,91.17643614020938,68378040.98550668,561769.4742251991,1329266.4904910468,91.17643614020938,182.4396819717641,4.454360523768454e+25,8.908721047536908e+25,True,5.856803654196177e-18,True,9.050150555989267e+23,False,4.2026234518086573e-19,True,152033509459.34003,66178286787.48982,4.4505895925855405,0.5235987755982988,0,0.14723237925832378,0.0020301040500280885,0.06300324222048558,0.03978541550241349,0.7492230509503041,0.5245644990222718,0.2875350597322174,540.2225843743705,0.001183949516393551,95.70416544982123
48,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.003,0.003,0.007,0.005,0.0011,0.0012,0.0015,0.008034827459887725,0.05485552335030548,0.0621243252446475,0.7330401348468831,True,2800.927736334006,1315.176190634746,0.4695502042320143,True,409.9291047545431,63796312.857039526,117761.19411452321,286685.99650104134,409.9291047545431,853.0161860561163,1.2199408580358384e+30,2.4398817160716768e+30,True,0.9772778994528901,68604285.44836812,60801328.574689776,66165696.755379535,0.9772778994528901,2.717240945852848,881126069.032097,1762252138.064194,False,35.73686267491836,74656429.87747107,1319675.769579647,4977632.969418046,35.73686267491836,54.785308184669326,5.5234358064073963e+23,1.1046871612814793e+24,True,1.5345006175250226e-23,True,0.021245540970730354,True,3.3891948157130904e-17,True,6219406.199385854,73304013.48468831,0.5235987755982988,0.5235987755982988,0,0.1250146760548407,0.0013463397185122013,0.057525597579093875,0.053719521558002546,0.541795773728791,0.47945589579549003,0.29221485805082137,536.1029426081304,450.0701904163685,28.941669707595942
50,0.114,0.2,0.064,0.2499628965134077,1.5057197479918698,3.1415926535897927,0.004,0.002,0.004,0.01,0.0012,0.0033,0.0023,0.007102930234066828,0.062282396101865894,0.061751858019637895,70.7618205383551,False,11919.828805673655,6012.234014330267,0.5043892921908859,True,293.561938462997,63342180.57121437,159409.75878508997,429769.303563883,293.561938462997,585.5605231871855,8.62315656264926e+28,1.724631312529852e+29,True,0.01017572252064349,69037952.89120005,5872034446.194427,6384272445.5050535,0.01017572252064349,0.0281487729581616,3.784039324661355e-08,7.56807864932271e-08,False,65.06042267055163,73964587.8866962,710138.9468809069,2786552.905090541,65.06042267055163,98.66468496658855,8.429794658545266e+25,1.6859589317090532e+26,True,2.1708987728559484e-22,True,494709446542956.0,False,2.2206946620014727e-19,True,3384335.5793939484,7076182053.83551,0.5235987755982988,0.5235987755982988,0,0.13113718435557062,0.001476107402224221,0.06171670648706001,0.05570585987878981,0.5741390048493554,0.5182767721566062,0.2980415414249241,311.28930916732696,162.6203114342337,53.18621507156615
72,0.088,0.238,0.144,0.2504722209031141,1.7175197310816706,3.1415926535897927,0.01,0.001,0.006,0.002,0.0036,0.0019,0.0021,0.0069769904289735335,0.022365737264981016,0.0618596774795091,34.6274156504522,False,183.131432974914,50.947537724710976,0.27820203717670877,True,253.93424909798745,67556481.57072048,215961.33424420014,358035.8405348302,253.93424909798745,601.0482545193946,7.4216683301390315e+28,1.4843336660278063e+29,True,0.0212070738609098,68218665.5135579,2759423642.8899865,3238220686.4343705,0.0212070738609098,0.05752258404406997,2.070303442941863e-05,4.140606885883726e-05,False,582.767701728604,70415716.0327349,94150.13892433069,183002.97571203462,582.767701728604,1244.7992888431081,3.515743010502791e+32,7.031486021005583e+32,True,2.5223439215114205e-22,True,904215276452.3844,False,5.324621266138228e-26,True,539851.1653116775,3462741565.04522,4.71238898038469,0.7853981633974483,0,0.09120240517346365,0.0010720805297115897,0.026620790127303878,0.0225715606921104,0.333205147626381,0.288243890828064,0.23813098701160923,333.42523192680125,723.4911506526759,841.0137312087558
