design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,sigma_max_rod,sigma_min_rod,sigma_m_rod,sigma_a_rod,tau_m_rod,tau_a_rod,R_rod,sigma_a_eq_rod,sigma_m_eq_rod,S_e_rod,n_f_rod,n_y_rod,n_rod,b_B_rod,N_f_rod,t_f_rod,D_rod,failed_miner_rod,sigma_max_crank,sigma_min_crank,sigma_m_crank,sigma_a_crank,tau_m_crank,tau_a_crank,R_crank,sigma_a_eq_crank,sigma_m_eq_crank,S_e_crank,n_f_crank,n_y_crank,n_crank,b_B_crank,N_f_crank,t_f_crank,D_crank,failed_miner_crank,sigma_max_pin,sigma_min_pin,sigma_m_pin,sigma_a_pin,tau_m_pin,tau_a_pin,R_pin,sigma_a_eq_pin,sigma_m_eq_pin,S_e_pin,n_f_pin,n_y_pin,n_pin,b_B_pin,N_f_pin,t_f_pin,D_pin,failed_miner_pin
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,1090329.5919422337,297288.6129625887,693809.1024524112,396520.48948982253,491337.4787144167,464064.3553692237,0.27265940056989596,896267.6365673413,1098002.1059242738,67556481.57072048,64.34909518079934,172.99565482498943,64.34909518079934,-0.12246520304048081,6.662944829871087e+23,1.3325889659742175e+24,2.809568513320887e-17,False,95909.72135003356,26765.66274002635,61337.69204502996,34572.029305003605,9615034.38694281,9486480.053473616,0.27907142637128496,16431101.808462774,16653841.031388028,65400882.12397166,3.4999703978656567,10.42770427834766,3.4999703978656567,-0.1245983882552379,18716914141096.625,37433828282193.25,1.0001648700677961e-06,False,1723484.3003276528,488014.53187417536,1105749.4161009141,617734.8842267387,165862.41241513708,92660.23263401078,0.28315577448625356,638243.0127514043,1142459.0980704823,73964587.8866962,90.95560493127778,193.74380358361265,90.95560493127778,-0.11650390929413053,2.1072694068700745e+26,4.214538813740149e+26,8.883534273771288e-20,False
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,401877.2363745117,114825.22107665011,258351.2287255809,143526.00764893077,60176.147021334364,46289.324384383486,0.28572213274016806,164401.3975838678,278583.6739563486,61667681.255241424,308.38474621940395,778.8072830546371,308.38474621940395,-0.12846475529234924,2.693624130826545e+28,5.38724826165309e+28,6.949744689974887e-22,False,479256.26705679146,31445.65943778651,255350.96324728898,223905.30380950248,27453401.646639433,27282491.08312549,0.0656134548451512,47255191.17184418,47551372.11510879,65400882.12397166,1.2180316332333436,3.638988568289111,1.2180316332333436,-0.1245983882552379,3891718072.9276695,7783436145.855339,0.004810214832935542,False,953893.402602516,538939.7867055635,746416.5946540397,207476.80794847623,128003.71249765903,30053.696776802906,0.5649895315715249,213907.2226605379,778647.9204457449,68091685.86518651,210.36837342423613,347.5877409896786,210.36837342423613,-0.12194611293253685,1.0683473079518745e+29,2.136694615903749e+29,1.752239169852738e-22,False
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,1444072.7352676308,385523.120685664,914797.9279766474,529274.8072909834,52497.74725328749,28496.099208367254,0.266969323130538,531571.1661134254,919305.8737060138,64688228.512790635,98.80683320088409,237.78720768986395,98.80683320088409,-0.12531912511082055,1.2152266228806885e+25,2.430453245761377e+25,1.5404534139997966e-18,False,445401.9144345273,62416.10044520621,253909.00743986675,191492.90699466053,106196.60363665398,95675.61115267262,0.14013433355904711,253240.99418849614,313532.99655854417,64324620.46266575,218.05217595677806,608.7082428487419,218.05217595677806,-0.12568992236928409,3.7311717664369707e+27,7.462343532873941e+27,5.0171906231688706e-21,False,1904384.3463806466,1002021.0001797085,1453202.6732801776,451181.67310046905,89618.09861143211,24486.733599751064,0.5261653206108771,453170.7211514156,1461469.1992734023,68990827.91667391,104.22767340913946,180.19053939053555,104.22767340913946,-0.12108315958366107,3.5081563082020764e+26,7.016312616404153e+26,5.3361362366416235e-20,False
4,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.007,0.007,0.004,0.0024,0.0021,0.0013,0.01730888253703234,0.06312100302154218,0.0621929376282019,627240.5079255102,174461.89795608917,400851.20294079965,226389.3049847105,145009.61506159612,128111.3203732552,0.27814194994052893,317001.0230816247,473038.1086974103,64562488.99769557,169.79766175181504,436.68722993900076,169.79766175181504,-0.1254471144498167,7.052805188242282e+26,1.4105610376484563e+27,2.6542630202246443e-20,False,128286.40228502211,48269.32027685956,88277.86128094084,40008.54100408127,2376873.740002584,2030029.6871920268,0.3762621713376646,3516342.1727693323,4117812.4421267603,64562488.99769557,15.875621882883927,45.19164431472492,15.875621882883927,-0.1254471144498167,3.295455623056924e+18,6.590911246113848e+18,5.68054986661753e-12,False,2737608.044528286,1397135.9682408667,2067372.0063845762,670236.0381437097,167973.97551874683,54456.6780991764,0.5103491608425652,676840.4067395565,2087743.4665536152,73333818.00882263,73.78967690133759,124.79274126309508,73.78967690133759,-0.11706730092865392,9.50084109011527e+25,1.900168218023054e+26,1.9703518691072936e-19,False
5,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.005,0.001,0.007,0.009,0.0033,0.0037,0.0012,0.003066920322520788,0.14189293819030332,0.062223568156574406,625227.2989797943,172550.5614498962,398888.9302148452,226338.36876494903,194972.33935658523,175128.65408570244,0.27598053017111235,378469.54120614106,522642.3423245403,61821352.21570749,138.8105636115412,382.86033766222477,138.8105636115412,-0.12830103652015645,4.410956851647767e+25,8.821913703295535e+25,4.243977130043091e-19,False,5035501.634395522,77832.3924698252,2556667.0134326736,2478834.6209628484,10588252804.064573,10111762987.232351,0.015456730653840497,17514087423.40027,18339391998.234024,70795935.39990072,0.003504369036809928,0.009622497050922876,0.003504369036809928,-0.11938414933023132,3.1907987948076356e-12,6.381597589615271e-12,5.866869459291173e+18,True,14004878.181300905,7801854.817969732,10903366.499635318,3101511.6816655863,363445.5499878439,103383.72272218618,0.5570812339079569,3106676.5673110853,10921523.658756943,73964587.8866962,15.476506348923884,24.59331877505574,15.476506348923884,-0.11650390929413053,2.656205108140941e+20,5.312410216281882e+20,7.047648520298944e-14,False
6,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.006,0.003,0.006,0.01,0.0014,0.0033,0.0038,0.016239778626248022,0.08341365743264913,0.06063078068120439,308098.7388392411,120815.47822225792,214457.1085307495,93641.63030849159,148219.42147886188,59844.01243008491,0.3921323361381777,139687.76753183754,334512.8429671351,61982933.66479495,339.41773224936554,727.5401852329489,339.41773224936554,-0.12812932837122556,1.1421055948834475e+29,2.284211189766895e+29,1.6390778649421103e-22,False,461091.1111693243,95124.80136630168,278107.956267813,182983.15490151133,31034362.851014044,25602527.362570096,0.2063036980371748,44345255.72018307,53753812.67166582,66106800.8405103,1.2786025847698472,3.5168529697134847,1.2786025847698472,-0.12389216407565071,7401463203.092461,14802926406.184921,0.002529229624782632,False,4470604.636182191,2550889.581095163,3510747.108638677,959857.527543514,409587.16267451225,111983.37821341,0.5705916288033854,979258.5481731629,3581707.7201103526,72754613.06381544,47.90352830059607,75.64186615434849,47.90352830059607,-0.11758892010891937,3.1406683061821995e+24,6.281336612364399e+24,5.960514825188928e-18,False
7,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.008,0.009,0.008,0.011,0.0024,0.0039,0.003,0.06519686007605159,0.12291583679782386,0.061297300978589986,232664.38082898172,92403.18679477279,162533.78381187725,70130.59701710448,253333.92801142036,90555.15837540245,0.3971522691421042,171810.97393111468,467922.5022643094,60725821.20783358,263.2913488318167,539.2870825703208,263.2913488318167,-0.12947720025912082,1.1423668609345965e+28,2.284733721869193e+28,1.6387029981493634e-21,False,103940.7442700326,50922.180912724725,77431.46259137866,26509.28167865394,4146604.610334395,4072664.928866943,0.4899154924312603,7054112.389981001,7182547.251131621,61381278.632498465,7.704542320902885,24.233212614264453,7.704542320902885,-0.12877097607953358,4832596244612870.0,9665192489225740.0,3.87369419095752e-09,False,5106966.305891604,3435440.461619974,4271203.383755789,835762.922135815,284746.89225038595,55717.52814238769,0.6726969116002802,841316.2252351311,4299583.784896587,68677366.32671957,47.27663202501918,67.10887185513661,47.27663202501918,-0.12138272129801346,1.841564749806029e+24,3.683129499612058e+24,1.0165268422938573e-17,False
8,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.012,0.011,0.009,0.007,0.0034,0.0024,0.0011,0.12022269434689424,0.08803025730414113,0.062251748242677096,208029.7579564391,83264.0235916716,145646.89077405535,62382.86718238375,142139.23754587193,56775.03238958156,0.40025054304541796,116455.29196395086,286048.43181271775,61821352.21570749,403.88182547342143,857.1349272570336,403.88182547342143,-0.12830103652015645,4.306728948631902e+29,8.613457897263804e+29,4.346686365285815e-23,False,68272.02289135252,35819.40371348443,52045.71330241847,16226.309588934044,1474741.53717607,1317559.6004536382,0.5246571318164559,2282137.8563455646,2554857.444299089,59422718.22223732,22.886070502992016,71.32527086681684,22.886070502992016,-0.1309041612942907,1.4711376473063539e+19,2.9422752946127077e+19,1.2724845995394267e-12,False,9151487.778208574,3796382.18688593,6473934.982547252,2677552.795661322,270608.8447467257,88913.88939718262,0.41483770496048034,2681978.003775751,6490879.878630829,74656429.87747107,20.258109310343617,37.61096099196145,20.258109310343617,-0.11589146771976179,1.2152178588443725e+21,2.430435717688745e+21,1.54046452360419e-14,False
9,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.011,0.002,0.012,0.008,0.0028,0.0028,0.0011,0.020022365326047675,0.13430302994916624,0.062251748242677096,156648.3410998916,63853.478743754735,110250.90992182317,46397.43117806844,51701.77330062416,18350.472217776813,0.40762307660211106,56240.031221273275,142036.90797070094,60443792.856708154,816.643857450571,1739.990547594477,816.643857450571,-0.1297834210463052,5.34478022889389e+31,1.068956045778778e+32,3.5024826463022094e-25,False,651191.3571150126,53896.46968138346,352543.913398198,298647.44371681457,28476357.764608834,25685955.603016417,0.08276594750913491,44490382.51146004,49323758.391112775,65400882.12397166,1.2781325193105575,3.6774839771574195,1.2781325193105575,-0.1245983882552379,6313695232.154098,12627390464.308195,0.0029649831535522404,False,14531533.593479717,6894949.922602639,10713241.758041177,3818291.8354385393,368267.6854326655,131253.7818431998,0.47448191742793033,3825053.6213654624,10732213.761877788,74656429.87747107,13.61371684356589,23.699502861170675,13.61371684356589,-0.11589146771976179,5.67873354294986e+19,1.135746708589972e+20,3.296509663363384e-13,False
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.01,0.007,0.004,0.002,0.0029,0.0017,0.0013,0.06356122504114703,0.01114468487202158,0.0621929376282019,476181.5477112433,186455.07936420027,331318.31353772175,144863.23417352152,233760.35767186168,212774.6418357997,0.39156300839541713,395985.4810978189,523166.83700528095,69037952.89120005,146.6506546875841,375.34584116808145,146.6506546875841,-0.12103824200531095,1.0940626109492047e+27,2.1881252218984094e+27,1.711053811057358e-20,False,81234.65650465869,27192.511796215585,54213.584150437135,27021.072354221553,1526002.6452503884,1339381.6015690183,0.33474028162667413,2320034.3450509384,2643670.0498814113,61473858.67859831,23.140855260102672,69.50454188050051,23.140855260102672,-0.12867183377861996,2.817267129476751e+19,5.634534258953502e+19,6.644737307348222e-13,False,2016093.9015167647,834806.4116957136,1425450.1566062393,590643.7449105255,106582.71891593466,20120.626276021474,0.4140711953285832,591670.9830701079,1437354.4367633516,73333818.00882263,90.54627644983934,170.03236954434868,90.54627644983934,-0.11706730092865392,2.996896260905879e+26,5.993792521811758e+26,6.246462463249049e-20,False
