design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,utilization,check_static_passed,n_buck,P_cr,N_max_comp,check_buckling_passed,n_rod,S_e_rod,sigma_a_eq_rod,sigma_m_eq_rod,n_f_rod,n_y_rod,N_f_rod,t_f_rod,check_fatigue_rod_passed,n_crank,S_e_crank,sigma_a_eq_crank,sigma_m_eq_crank,n_f_crank,n_y_crank,N_f_crank,t_f_crank,check_fatigue_crank_passed,n_pin,S_e_pin,sigma_a_eq_pin,sigma_m_eq_pin,n_f_pin,n_y_pin,N_f_pin,t_f_pin,check_fatigue_pin_passed,D_rod,check_miner_rod_passed,D_crank,check_miner_crank_passed,D_pin,check_miner_pin_passed,sigma_max,tau_max,theta_sigma_max,theta_tau_max,pass_fail,total_mass,volume_envelope,tau_A_max,E_rev,F_A_max,F_B_max,F_C_max,n_static_rod,n_static_crank,n_static_pin
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,0.19101514440416426,True,280.9433173713085,78.28429706159203,0.27864801268124717,True,64.34909518079934,67556481.57072048,896267.6365673413,1098002.1059242738,64.34909518079934,172.99565482498943,6.662944829871087e+23,1.3325889659742175e+24,True,3.4999703978656567,65400882.12397166,16431101.808462774,16653841.031388028,3.4999703978656567,10.42770427834766,18716914141096.625,37433828282193.25,True,90.95560493127778,73964587.8866962,638243.0127514043,1142459.0980704823,90.95560493127778,193.74380358361265,2.1072694068700745e+26,4.214538813740149e+26,True,2.809568513320887e-17,True,1.0001648700677961e-06,True,8.883534273771288e-20,True,1723484.3003276528,19101514.440416425,0.2617993877991494,0.5235987755982988,1,0.10196750276729055,0.0010888578053918185,0.025919181533456608,0.014044670663399633,0.3886628613079113,0.29238222329028163,0.23914878301575437,165.08769580339566,1876.764914612454,104.43959365674527
2,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.011,0.006,0.0029,0.0038,0.0026,0.013851296970675343,0.14913051935820357,0.061571750512807596,0.5473589272976492,True,1873.4308550106516,1722.2545353550247,0.9193050977828764,True,308.38474621940395,61667681.255241424,164401.3975838678,278583.6739563486,308.38474621940395,778.8072830546371,2.693624130826545e+28,5.38724826165309e+28,True,1.2180316332333436,65400882.12397166,47255191.17184418,47551372.11510879,1.2180316332333436,3.638988568289111,3891718072.9276695,7783436145.855339,True,210.36837342423613,68091685.86518651,213907.2226605379,778647.9204457449,210.36837342423613,347.5877409896786,1.0683473079518745e+29,2.136694615903749e+29,True,6.949744689974887e-22,True,0.004810214832935542,True,1.752239169852738e-22,True,953893.402602516,54735892.72976492,2.0943951023931953,0.5235987755982988,1,0.22455356684168648,0.0011201468227881352,0.0775248628867388,0.025716886052316944,1.0440005712159333,0.9228800524505351,0.3857260432133606,447.89797407747915,375.58194304983425,188.70033015104661
3,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.003,0.01,0.003,0.009,0.0026,0.0023,0.0023,0.01832110426622274,0.060553852217674085,0.061751858019637895,0.010579913035448037,True,3498.3647936392413,1585.2570154972382,0.45314228475531393,True,98.80683320088409,64688228.512790635,531571.1661134254,919305.8737060138,98.80683320088409,237.78720768986395,1.2152266228806885e+25,2.430453245761377e+25,True,218.05217595677806,64324620.46266575,253240.99418849614,313532.99655854417,218.05217595677806,608.7082428487419,3.7311717664369707e+27,7.462343532873941e+27,True,104.22767340913946,68990827.91667391,453170.7211514156,1461469.1992734023,104.22767340913946,180.19053939053555,3.5081563082020764e+26,7.016312616404153e+26,True,1.5404534139997966e-18,True,5.0171906231688706e-21,True,5.3361362366416235e-20,True,1904384.3463806466,201872.2147893266,0.5235987755982988,0.5235987755982988,1,0.1406268145035347,0.0016958647428803612,0.04169550932130527,0.017330724327249036,0.6058158254172359,0.45495453778167255,0.28089247718343674,124.64746103432283,404.1293810524459,94.51873532887241
4,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.004,0.007,0.007,0.004,0.0024,0.0021,0.0013,0.01730888253703234,0.06312100302154218,0.0621929376282019,0.04406903427194611,True,694.4287811039849,324.73486188512254,0.4676287485793251,True,169.79766175181504,64562488.99769557,317001.0230816247,473038.1086974103,169.79766175181504,436.68722993900076,7.052805188242282e+26,1.4105610376484563e+27,True,15.875621882883927,64562488.99769557,3516342.1727693323,4117812.4421267603,15.875621882883927,45.19164431472492,3.295455623056924e+18,6.590911246113848e+18,True,73.78967690133759,73333818.00882263,676840.4067395565,2087743.4665536152,73.78967690133759,124.79274126309508,9.50084109011527e+25,1.900168218023054e+26,True,2.6542630202246443e-20,True,5.68054986661753e-12,True,1.9703518691072936e-19,True,2737608.044528286,4406903.427194611,2.0943951023931953,0.5235987755982988,1,0.14262282318677644,0.0013391699445623518,0.042510560759992835,0.017661722675692815,0.6117667837049572,0.4691641984203504,0.28546602026331536,286.971261781735,1403.11051517434,65.75082958269711
6,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.006,0.003,0.006,0.01,0.0014,0.0033,0.0038,0.016239778626248022,0.08341365743264913,0.06063078068120439,0.5663689021358413,True,18057.43255204618,11385.369298693855,0.6305087539924783,True,339.41773224936554,61982933.66479495,139687.76753183754,334512.8429671351,339.41773224936554,727.5401852329489,1.1421055948834475e+29,2.284211189766895e+29,True,1.2786025847698472,66106800.8405103,44345255.72018307,53753812.67166582,1.2786025847698472,3.5168529697134847,7401463203.092461,14802926406.184921,True,47.90352830059607,72754613.06381544,979258.5481731629,3581707.7201103526,47.90352830059607,75.64186615434849,3.1406683061821995e+24,6.281336612364399e+24,True,1.6390778649421103e-22,True,0.002529229624782632,True,5.960514825188928e-18,True,4470604.636182191,56636890.21358414,4.4505895925855405,0.5235987755982988,1,0.16028421674010154,0.0014045192025156298,0.08251514202441816,0.06393529501278067,0.8028954679953522,0.6518178256419487,0.319556833515233,584.2282921317633,390.37837780806717,40.26301018506447
7,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.008,0.009,0.008,0.011,0.0024,0.0039,0.003,0.06519686007605159,0.12291583679782386,0.061297300978589986,0.08219269539201338,True,24061.090969792363,20205.235382082024,0.8397472669651099,True,263.2913488318167,60725821.20783358,171810.97393111468,467922.5022643094,263.2913488318167,539.2870825703208,1.1423668609345965e+28,2.284733721869193e+28,True,7.704542320902885,61381278.632498465,7054112.389981001,7182547.251131621,7.704542320902885,24.233212614264453,4832596244612870.0,9665192489225740.0,True,47.27663202501918,68677366.32671957,841316.2252351311,4299583.784896587,47.27663202501918,67.10887185513661,1.841564749806029e+24,3.683129499612058e+24,True,1.6387029981493634e-21,True,3.87369419095752e-09,True,1.0165268422938573e-17,True,5106966.305891604,8219269.539201338,4.4505895925855405,0.5235987755982988,1,0.24940999785246543,0.001947503430292291,0.13260697203433794,0.07659678114371823,1.540224751557088,0.8864645214960682,0.3607598535201546,773.6465691854556,1731.7559275154836,35.245973679588346
8,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.012,0.011,0.009,0.007,0.0034,0.0024,0.0011,0.12022269434689424,0.08803025730414113,0.062251748242677096,0.050841598767825416,True,8877.284096445685,5857.772504177989,0.6598608809335439,True,403.88182547342143,61821352.21570749,116455.29196395086,286048.43181271775,403.88182547342143,857.1349272570336,4.306728948631902e+29,8.613457897263804e+29,True,22.886070502992016,59422718.22223732,2282137.8563455646,2554857.444299089,22.886070502992016,71.32527086681684,1.4711376473063539e+19,2.9422752946127077e+19,True,20.258109310343617,74656429.87747107,2681978.003775751,6490879.878630829,20.258109310343617,37.61096099196145,1.2152178588443725e+21,2.430435717688745e+21,True,4.346686365285815e-23,True,1.2724845995394267e-12,True,1.54046452360419e-14,True,9151487.778208574,2792301.1376297083,2.356194490192345,0.5235987755982988,1,0.27050469989371245,0.002019901327329179,0.13687298735334483,0.06638820891061324,1.8900261370371938,0.6826210601282424,0.3304278919825099,865.2608250291362,2636.511888426836,19.66893300438144
9,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.011,0.002,0.012,0.008,0.0028,0.0028,0.0011,0.020022365326047675,0.13430302994916624,0.062251748242677096,0.5416231336762525,True,12918.374104991244,11658.618161862507,0.9024833982287285,True,816.643857450571,60443792.856708154,56240.031221273275,142036.90797070094,816.643857450571,1739.990547594477,5.34478022889389e+31,1.068956045778778e+32,True,1.2781325193105575,65400882.12397166,44490382.51146004,49323758.391112775,1.2781325193105575,3.6774839771574195,6313695232.154098,12627390464.308195,True,13.61371684356589,74656429.87747107,3825053.6213654624,10732213.761877788,13.61371684356589,23.699502861170675,5.67873354294986e+19,1.135746708589972e+20,True,3.5024826463022094e-25,True,0.0029649831535522404,True,3.296509663363384e-13,True,14531533.593479717,54162313.36762525,2.356194490192345,0.5235987755982988,1,0.216577143517891,0.001361080464293497,0.11833312362998187,0.08072755809605131,1.1564702501855493,0.9581947896788545,0.3756288826041094,1149.0705789550461,276.41644507915146,12.386855030962858
10,0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,3.1415926535897927,0.01,0.007,0.004,0.002,0.0029,0.0017,0.0013,0.06356122504114703,0.01114468487202158,0.0621929376282019,0.02865384246819407,True,219.36078817695932,60.721969593033904,0.27681323584618606,True,146.6506546875841,69037952.89120005,395985.4810978189,523166.83700528095,146.6506546875841,375.34584116808145,1.0940626109492047e+27,2.1881252218984094e+27,True,23.140855260102672,61473858.67859831,2320034.3450509384,2643670.0498814113,23.140855260102672,69.50454188050051,2.817267129476751e+19,5.634534258953502e+19,True,90.54627644983934,73333818.00882263,591670.9830701079,1437354.4367633516,90.54627644983934,170.03236954434868,2.996896260905879e+26,5.993792521811758e+26,True,1.711053811057358e-20,True,6.644737307348222e-13,True,6.246462463249049e-20,True,2016093.9015167647,2865384.2468194067,0.0,0.5235987755982988,1,0.1368988475413705,0.001513116048070962,0.05864842683955566,0.04252955267410816,0.8369007524707328,0.277836545232459,0.2550885697239317,378.00708755970544,2215.8030543242003,89.28155571750943
12,0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,3.1415926535897927,0.009,0.007,0.006,0.004,0.0035,0.001,0.002,0.05016885369869011,0.037598277886510004,0.06190991154604,0.07602816396386414,True,1503.691003510118,577.1744653757055,0.38383847747202526,True,207.0152316748834,65097141.432109386,266768.1903454189,353826.8751076354,207.0152316748834,555.9180522135459,3.6825797269296016e+27,7.365159453859203e+27,True,17.521289962753396,61821352.21570749,3087894.550697965,3441254.0804658546,17.521289962753396,52.8399672743403,3.460368468890859e+18,6.920736937781718e+18,True,11.855674960304269,75421685.75701076,5001626.048394824,8709601.633947155,11.855674960304269,25.16186062932269,7.2467745087942e+18,1.44935490175884e+19,True,5.0833929984207135e-21,True,5.409828510545949e-12,True,2.583218227265477e-12,True,13685069.513495544,3769353.2722444017,0.5235987755982988,0.5235987755982988,1,0.1496770431312401,0.0018070717011677284,0.05893131154146625,0.03308650720126861,0.8190875832614811,0.3838653022094933,0.2662940147271019,459.8452462650082,2522.3223466461664,13.153020510600463
