design_id,r,l,e,ROM,QRR,omega,width_r,thickness_r,width_l,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,mass_crank,mass_rod,mass_slider,angle_deg,sigma_rod,tau_rod,sigma_crank,tau_crank,sigma_pin,tau_pin,sigma,tau
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,0.0,875394.9086449804,891754.8816169992,88142.46309200507,11652780.908804132,1715205.4128657612,257280.81192986414,1715205.4128657612,11652780.908804132
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,14.999999999999998,784005.5597421422,824359.7470558863,67179.189155345,16352139.430764128,1723484.3003276528,258522.64504914786,1723484.3003276528,16352139.430764128
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,29.999999999999996,677550.7533747761,732606.8463136174,34631.04559478645,19101514.440416425,1697782.5533553225,254667.38300329834,1697782.5533553225,19101514.440416425
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,45.0,560241.3658239151,613586.2462693362,28126.525152495622,18772758.278956145,1618882.3586739541,242832.35380109306,1618882.3586739541,18772758.278956145
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,59.99999999999999,439984.8505331379,454962.8090198871,39369.918236434016,14055754.095705997,1398879.8542572001,209831.97813858,1398879.8542572001,14055754.095705997
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,75.0,332412.8646798817,235859.6679318311,43159.547339684665,3916305.0436950093,802207.2479826252,120331.08719739375,802207.2479826252,3916305.0436950093
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,90.0,297288.6129625887,69708.73178775967,26765.66274002635,4511865.966579358,488014.53187417536,73202.1797811263,488014.53187417536,4511865.966579358
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,105.00000000000001,332380.1011528993,192509.995768561,38121.07687697817,3525632.1781490166,657321.6645404795,98598.24968107192,657321.6645404795,3525632.1781490166
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,119.99999999999999,450911.3258595641,413704.07837442856,56920.65806893615,13676684.717478257,1539574.614514466,230936.19217716984,1539574.614514466,13676684.717478257
1,0.079,0.288,0.201,0.24979222709267482,1.587839150981423,3.1415926535897927,0.011,0.002,0.004,0.003,0.0039,0.0012,0.0031,0.013789980681039146,0.02695495959689032,0.061222562489361095,135.0,561416.0429853529,261764.2537715655,39694.6274763978,13002909.768169783,1242742.5637538554,186411.3845630783,1242742.5637538554,13002909.768169783
