r,l,e,ROM,QRR,theta_min,theta_max,width_r,width_l,thickness_r,thickness_l,pin_diameter_A,pin_diameter_B,pin_diameter_C,rho,mass_crank,mass_rod,mass_slider,I_mass_crank_cg_z,I_mass_rod_cg_z,I_mass_slider_cg_z,I_area_crank_yy,I_area_crank_zz,I_area_rod_yy,I_area_rod_zz,I_area_slider_yy,I_area_slider_zz
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.018,0.006,0.011,0.011,0.0032,0.0034,0.0043,7800.0,0.12563507985925487,0.14821939576929397,62.37734566121571,7.288048786764864e-05,0.001024896553786425,0.4159999476401596,1.9964999999999995e-09,5.345999999999998e-09,6.654999999999999e-10,1.9800000000000001e-10,0.00013333333333333337,0.00013333333333333337
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.019,0.009,0.007,0.008,0.0049,0.0022,0.0041,7800.0,0.0844002029590347,0.16244879849717656,62.37940403272234,4.927409130170383e-05,0.0011341379643056524,0.41599995672272383,5.430833333333333e-10,4.001083333333334e-09,3.8399999999999997e-10,4.859999999999999e-10,0.00013333333333333337,0.00013333333333333337
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.019,0.018,0.007,0.012,0.0039,0.0048,0.0036,7800.0,0.08482702520565259,0.48965208234861596,62.38412113409171,5.009687413591414e-05,0.0034611469944267285,0.4159999742762373,5.430833333333333e-10,4.001083333333334e-09,2.5919999999999997e-09,5.831999999999999e-09,0.00013333333333333337,0.00013333333333333337
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.007,0.008,0.018,0.016,0.0036,0.0033,0.0033,7800.0,0.07840192283393711,0.2886990946945502,62.386657341840966,4.2128136422230724e-05,0.0020138565504256444,0.4159999818373067,3.4019999999999992e-09,5.145e-10,2.730666666666667e-09,6.826666666666668e-10,0.00013333333333333337,0.00013333333333333337
0.079,0.288,0.201,0.24979222709267482,1.587839150981423,1.848372371450411,5.703591742340362,0.01,0.013,0.014,0.01,0.0034,0.0031,0.0023,7800.0,0.08800134480019164,0.29385701025449945,62.393518580196385,4.8547977799885556e-05,0.002061052908030453,0.41599999571416124,2.286666666666667e-09,1.166666666666667e-09,1.0833333333333335e-09,1.8308333333333335e-09,0.00013333333333333337,0.00013333333333333337
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.012,0.012,0.008,0.018,0.0024,0.0043,0.0048,7800.0,0.087432015499147,0.30298073096408423,62.371770905051925,0.00010057199329235051,0.0008215120680045042,0.41599991870020664,5.12e-10,1.152e-09,5.831999999999999e-09,2.5919999999999997e-09,0.00013333333333333337,0.00013333333333333337
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.011,0.005,0.016,0.015,0.0049,0.0037,0.0038,7800.0,0.16007977305714152,0.10373883971064468,62.38230780681206,0.0001836684474932831,0.0002724251421665817,0.41599996806559136,3.754666666666667e-09,1.7746666666666665e-09,1.4062499999999998e-09,1.5625000000000003e-10,0.00013333333333333337,0.00013333333333333337
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.015,0.014,0.015,0.018,0.0034,0.0049,0.004,7800.0,0.20583966631737044,0.35421182121533856,62.38039646184162,0.0002404935180118365,0.0009657216697925764,0.4159999607929238,4.218749999999999e-09,4.218749999999999e-09,6.8039999999999984e-09,4.116e-09,0.00013333333333333337,0.00013333333333333337
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.012,0.007,0.007,0.008,0.0026,0.003,0.004,7800.0,0.07650672802198916,0.07805397886509997,62.38039646184162,8.794521175937612e-05,0.00020825295114284463,0.4159999607929238,3.43e-10,1.008e-09,2.986666666666667e-10,2.286666666666667e-10,0.00013333333333333337,0.00013333333333333337
0.115,0.178,0.05,0.25037473298874435,1.6220430016026317,2.224806020026439,6.111697558057613,0.02,0.015,0.018,0.013,0.0044,0.0034,0.0021,7800.0,0.3304616546258002,0.273648909200917,62.39459677479511,0.0003931831613048134,0.0007435636179617797,0.4159999970214722,9.719999999999999e-09,1.2000000000000002e-08,2.74625e-09,3.656249999999999e-09,0.00013333333333333337,0.00013333333333333337
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.007,0.018,0.006,0.01,0.0022,0.0024,0.0049,7800.0,0.0334514596791018,0.2841008583407013,62.37058244055107,2.923716529884083e-05,0.0009776648079462692,0.4159999117105498,1.26e-10,1.715e-10,1.5000000000000002e-09,4.859999999999999e-09,0.00013333333333333337,0.00013333333333333337
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.016,0.012,0.013,0.009,0.0045,0.002,0.003,7800.0,0.16720394518611387,0.16986924563608347,62.38897300978591,0.00015185978730455107,0.0005778031667245532,0.4159999875946361,2.929333333333333e-09,4.437333333333334e-09,7.289999999999999e-10,1.2959999999999999e-09,0.00013333333333333337,0.00013333333333333337
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.009,0.009,0.012,0.015,0.0024,0.0043,0.0041,7800.0,0.08612174324872048,0.2117788270453522,62.37940403272234,7.580897232921804e-05,0.0007161677474417654,0.41599995672272383,1.2959999999999999e-09,7.289999999999999e-10,2.5312499999999995e-09,9.112499999999997e-10,0.00013333333333333337,0.00013333333333333337
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.008,0.007,0.009,0.006,0.0025,0.0027,0.0037,7800.0,0.05743523276250542,0.06579716581769392,62.38322672266324,5.044437805758203e-05,0.00022161099931043457,0.4159999712967293,4.859999999999999e-10,3.8399999999999997e-10,1.26e-10,1.715e-10,0.00013333333333333337,0.00013333333333333337
0.101,0.2,0.092,0.25003052321271674,1.7805179339198407,1.9490988416912478,5.972566550746281,0.02,0.014,0.009,0.012,0.0045,0.0033,0.0028,7800.0,0.1455626976236646,0.2646998164885994,62.39039426630241,0.0001355826622295626,0.0009047550281578976,0.41599999058638104,1.2149999999999998e-09,6.000000000000001e-09,2.016e-09,2.744e-09,0.00013333333333333337,0.00013333333333333337
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.007,0.008,0.018,0.014,0.0037,0.0032,0.0042,7800.0,0.09706630124176584,0.1869179784331291,62.37838709918038,7.958199869983009e-05,0.0007146964416130249,0.4159999523435538,3.4019999999999992e-09,5.145e-10,1.8293333333333336e-09,5.973333333333334e-10,0.00013333333333333337,0.00013333333333333337
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.019,0.014,0.007,0.013,0.0028,0.004,0.004,7800.0,0.10417003548503943,0.3055047400394079,62.38039646184162,9.084020376404278e-05,0.0011849475965920535,0.4159999607929238,5.430833333333333e-10,4.001083333333334e-09,2.5631666666666662e-09,2.972666666666667e-09,0.00013333333333333337,0.00013333333333333337
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.016,0.008,0.016,0.007,0.0034,0.0021,0.0047,7800.0,0.19961225747805172,0.09338712739738021,62.37293486513007,0.0001707036760154601,0.0003564820012799315,0.41599992526639645,5.461333333333334e-09,5.461333333333334e-09,2.286666666666667e-10,2.986666666666667e-10,0.00013333333333333337,0.00013333333333333337
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.013,0.007,0.006,0.019,0.0039,0.0038,0.0026,7800.0,0.06087570580050643,0.22181828463431136,62.3917175051281,5.182019571933949e-05,0.0008465631592230154,0.4159999930012919,2.3399999999999997e-10,1.0985e-09,4.001083333333334e-09,5.430833333333333e-10,0.00013333333333333337,0.00013333333333333337
0.098,0.213,0.107,0.24987108329741842,1.735121449034624,1.9459951429986666,5.9319569358815585,0.012,0.006,0.015,0.018,0.0045,0.0041,0.0037,7800.0,0.1402236978555454,0.1793533279846994,62.38322672266324,0.00011879908633280606,0.0006787293882970195,0.4159999712967293,3.374999999999999e-09,2.16e-09,2.9159999999999994e-09,3.2399999999999997e-10,0.00013333333333333337,0.00013333333333333337
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.019,0.009,0.011,0.015,0.0035,0.0044,0.0025,7800.0,0.19830298179591954,0.1729185065051408,62.39234236790689,0.0002509747747399664,0.00039021451903332717,0.415999994017475,2.1074166666666664e-09,6.287416666666666e-09,2.5312499999999995e-09,9.112499999999997e-10,0.00013333333333333337,0.00013333333333333337
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.019,0.012,0.013,0.01,0.0042,0.0023,0.0025,7800.0,0.23370071915948823,0.15410744740516272,62.39234236790689,0.00029394738792068713,0.00035010169610074607,0.415999994017475,3.478583333333333e-09,7.430583333333333e-09,1e-09,1.44e-09,0.00013333333333333337,0.00013333333333333337
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.015,0.016,0.017,0.008,0.0032,0.0043,0.0043,7800.0,0.24115769872751744,0.16521997289725593,62.37734566121571,0.0003005411841321119,0.00038111410848395695,0.4159999476401596,6.141250000000001e-09,4.781249999999999e-09,6.826666666666668e-10,2.730666666666667e-09,0.00013333333333333337,0.00013333333333333337
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.018,0.012,0.006,0.017,0.0029,0.0022,0.0035,7800.0,0.10190669459887726,0.2621207025183875,62.38499104109749,0.00012710717556306327,0.0005962514235245622,0.4159999770175318,3.2399999999999997e-10,2.9159999999999994e-09,4.9130000000000015e-09,2.4480000000000002e-09,0.00013333333333333337,0.00013333333333333337
0.119,0.163,0.032,0.24997917678135495,1.5740496591138189,2.3272527114632697,6.169465178459683,0.011,0.006,0.009,0.012,0.0047,0.0039,0.003,7800.0,0.0931557263250703,0.09169856377944423,62.38897300978591,0.00011429958249291123,0.00020427874371521844,0.4159999875946361,6.682499999999997e-10,9.982499999999997e-10,8.64e-10,2.16e-10,0.00013333333333333337,0.00013333333333333337
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.014,0.011,0.019,0.015,0.0039,0.0027,0.0035,7800.0,0.2366055298241512,0.2647421384268039,62.38499104109749,0.00026071289401049434,0.0009366635012001462,0.4159999770175318,8.002166666666667e-09,4.344666666666667e-09,3.093749999999999e-09,1.6637499999999998e-09,0.00013333333333333337,0.00013333333333333337
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.008,0.008,0.014,0.007,0.0047,0.0021,0.0031,7800.0,0.09854065479476047,0.08964166398910454,62.38822562489362,0.00010528383664636005,0.0003152162599496841,0.415999985856032,1.8293333333333336e-09,5.973333333333334e-10,2.286666666666667e-10,2.986666666666667e-10,0.00013333333333333337,0.00013333333333333337
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.011,0.012,0.018,0.009,0.0031,0.0048,0.004,7800.0,0.17547286769509626,0.17340369151020762,62.38039646184162,0.00019113414431119519,0.0006150821639638608,0.4159999607929238,5.345999999999998e-09,1.9964999999999995e-09,7.289999999999999e-10,1.2959999999999999e-09,0.00013333333333333337,0.00013333333333333337
0.112,0.204,0.072,0.2504168695650096,1.5411101521861799,2.2427472232907992,6.053318227712197,0.008,0.014,0.014,0.01,0.0021,0.0023,0.0026,7800.0,0.09893319484940288,0.22470520426622276,62.3917175051281,0.00010634771982845569,0.0007967314046458059,0.4159999930012919,1.8293333333333336e-09,5.973333333333334e-10,1.166666666666667e-09,2.286666666666667e-09,0.00013333333333333337,0.00013333333333333337
